number,value,datetime_start,datetime_complete,duration,params_l0_dropout_rate,params_l0_is_bn,params_l0_out_features,params_l1_dropout_rate,params_l1_is_bn,params_l1_out_features,params_l2_dropout_rate,params_l2_is_bn,params_l2_out_features,params_num_hidden_layers,state
36,0.5169719827586207,2024-06-15 22:19:39.385573,2024-06-15 22:29:48.116951,0 days 00:10:08.731378,0.1869174125671981,True,544.0,,,,,,,1,PRUNED
37,0.9385775862068966,2024-06-15 22:29:48.229473,2024-06-15 23:30:20.775945,0 days 01:00:32.546472,,,,,,,,,,0,PRUNED
38,0.5245150862068966,2024-06-15 23:30:20.889029,2024-06-15 23:40:30.851688,0 days 00:10:09.962659,0.28835827238655776,True,800.0,,,,,,,1,PRUNED
39,0.9420797413793104,2024-06-15 23:40:30.964457,2024-06-16 00:51:17.335887,0 days 01:10:46.371430,,,,,,,,,,0,PRUNED
40,0.4515086206896552,2024-06-16 00:51:17.447856,2024-06-16 01:01:27.037012,0 days 00:10:09.589156,0.5158289448803998,False,672.0,,,,,,,1,PRUNED
41,0.5269396551724138,2024-06-16 01:01:27.153911,2024-06-16 01:11:35.033987,0 days 00:10:07.880076,0.036844158871286024,False,800.0,,,,,,,1,PRUNED
42,0.796875,2024-06-16 01:11:35.147268,2024-06-16 01:31:47.111624,0 days 00:20:11.964356,0.08486868091074358,False,768.0,,,,,,,1,PRUNED
43,0.4167564655172414,2024-06-16 01:31:47.225718,2024-06-16 01:41:53.515641,0 days 00:10:06.289923,0.1303503268386211,False,960.0,0.44758982133722514,False,768.0,,,,2,PRUNED
44,0.9539331896551724,2024-06-16 01:41:53.627803,2024-06-16 04:13:21.790509,0 days 02:31:28.162706,0.0008269875231073504,False,1024.0,,,,,,,1,COMPLETE
45,0.8003771551724138,2024-06-16 04:13:21.874042,2024-06-16 04:33:33.474175,0 days 00:20:11.600133,0.050569446094494264,False,1024.0,,,,,,,1,PRUNED
46,0.4598599137931034,2024-06-16 04:33:33.587279,2024-06-16 04:43:42.092719,0 days 00:10:08.505440,0.10504677341597392,True,928.0,0.09793998208358726,True,448.0,,,,2,PRUNED
47,0.4943426724137931,2024-06-16 04:43:42.223782,2024-06-16 04:53:49.893847,0 days 00:10:07.670065,0.3192256433623092,False,1024.0,,,,,,,1,PRUNED
48,0.9442349137931034,2024-06-16 04:53:50.007043,2024-06-16 06:04:17.816846,0 days 01:10:27.809803,,,,,,,,,,0,PRUNED
49,0.41648706896551724,2024-06-16 06:04:17.927799,2024-06-16 06:14:24.110160,0 days 00:10:06.182361,0.18745173785609454,True,960.0,0.27307411212046306,False,896.0,,,,2,PRUNED
50,0.5183189655172413,2024-06-16 06:14:24.238616,2024-06-16 06:24:31.183596,0 days 00:10:06.944980,0.2633215347476938,True,896.0,,,,,,,1,PRUNED
51,0.9587823275862069,2024-06-16 06:24:31.295515,2024-06-16 08:55:49.292319,0 days 02:31:17.996804,0.008752508696268155,False,992.0,,,,,,,1,COMPLETE
52,0.9544719827586207,2024-06-16 08:55:49.374728,2024-06-16 11:27:03.768699,0 days 02:31:14.393971,0.027172180180368932,False,992.0,,,,,,,1,COMPLETE
53,0.5549568965517241,2024-06-16 11:27:03.852343,2024-06-16 11:37:10.494573,0 days 00:10:06.642230,0.03259233594269293,False,992.0,,,,,,,1,PRUNED
54,0.8828125,2024-06-16 11:37:10.606996,2024-06-16 12:07:28.241267,0 days 00:30:17.634271,0.023970705702103266,False,992.0,,,,,,,1,PRUNED
55,0.9574353448275862,2024-06-16 12:07:28.353947,2024-06-16 14:38:53.176935,0 days 02:31:24.822988,0.011953430510161595,False,1024.0,,,,,,,1,COMPLETE
56,0.5463362068965517,2024-06-16 14:38:53.258702,2024-06-16 14:49:01.105825,0 days 00:10:07.847123,0.06108354835180423,False,928.0,,,,,,,1,PRUNED
57,0.5344827586206896,2024-06-16 14:49:01.236684,2024-06-16 14:59:10.182392,0 days 00:10:08.945708,0.09464998740760316,False,864.0,,,,,,,1,PRUNED
58,0.5444504310344828,2024-06-16 14:59:10.295161,2024-06-16 15:09:17.929065,0 days 00:10:07.633904,0.05413214621285227,False,960.0,,,,,,,1,PRUNED
59,0.4302262931034483,2024-06-16 15:09:18.041241,2024-06-16 15:19:27.124962,0 days 00:10:09.083721,0.16645667924000396,False,832.0,0.43479380583049765,True,640.0,,,,2,PRUNED
60,0.46174568965517243,2024-06-16 15:19:27.237921,2024-06-16 15:29:39.616229,0 days 00:10:12.378308,0.4517075037849807,False,992.0,,,,,,,1,PRUNED
61,0.9585129310344828,2024-06-16 15:29:39.727421,2024-06-16 18:01:05.459980,0 days 02:31:25.732559,0.005597253857365543,False,1024.0,,,,,,,1,COMPLETE
62,0.9547413793103449,2024-06-16 18:01:05.543719,2024-06-16 20:32:33.468190,0 days 02:31:27.924471,0.01164380912919471,False,1024.0,,,,,,,1,COMPLETE
63,0.5705818965517241,2024-06-16 20:32:33.550247,2024-06-16 20:42:41.946909,0 days 00:10:08.396662,0.0024632786628920435,False,896.0,,,,,,,1,PRUNED
64,0.4849137931034483,2024-06-16 20:42:42.075034,2024-06-16 20:52:49.181275,0 days 00:10:07.106241,0.38143436055912994,False,1024.0,,,,,,,1,PRUNED
65,0.4587823275862069,2024-06-16 20:52:49.293297,2024-06-16 21:03:02.750848,0 days 00:10:13.457551,0.10471109613601587,False,928.0,0.07420100211127184,False,640.0,,,,2,PRUNED
66,0.5511853448275862,2024-06-16 21:03:02.864483,2024-06-16 21:13:11.215693,0 days 00:10:08.351210,0.04906861831105042,False,960.0,,,,,,,1,PRUNED
67,0.5560344827586207,2024-06-16 21:13:11.328986,2024-06-16 21:23:18.147954,0 days 00:10:06.818968,0.07338566152124491,False,1024.0,,,,,,,1,PRUNED
68,0.8041487068965517,2024-06-16 21:23:18.261400,2024-06-16 21:43:30.943513,0 days 00:20:12.682113,0.0013790548598841806,True,896.0,,,,,,,1,PRUNED
69,0.4714439655172414,2024-06-16 21:43:31.055514,2024-06-16 21:53:37.076810,0 days 00:10:06.021296,0.12887814641802608,False,128.0,,,,,,,1,PRUNED
70,0.9213362068965517,2024-06-16 21:53:37.207527,2024-06-16 22:34:09.678234,0 days 00:40:32.470707,,,,,,,,,,0,PRUNED
71,0.8852370689655172,2024-06-16 22:34:09.791351,2024-06-16 23:04:36.155481,0 days 00:30:26.364130,0.026545529244280552,False,992.0,,,,,,,1,PRUNED
72,0.5660021551724138,2024-06-16 23:04:36.267048,2024-06-16 23:14:43.776181,0 days 00:10:07.509133,0.03217652120172196,False,960.0,,,,,,,1,PRUNED
73,0.9574353448275862,2024-06-16 23:14:43.889896,2024-06-17 01:46:17.308127,0 days 02:31:33.418231,0.020938083752026288,False,992.0,,,,,,,1,COMPLETE
74,0.5492995689655172,2024-06-17 01:46:17.391608,2024-06-17 01:56:24.847827,0 days 00:10:07.456219,0.06686711392766212,False,1024.0,,,,,,,1,PRUNED
75,0.5595366379310345,2024-06-17 01:56:24.963849,2024-06-17 02:06:31.807177,0 days 00:10:06.843328,0.04570828673699069,False,864.0,,,,,,,1,PRUNED
76,0.3203125,2024-06-17 02:06:31.924019,2024-06-17 02:16:36.676189,0 days 00:10:04.752170,0.3499169728365034,True,928.0,0.597077180609497,True,128.0,,,,2,PRUNED
77,0.5129310344827587,2024-06-17 02:16:36.789958,2024-06-17 02:26:43.534271,0 days 00:10:06.744313,0.016454134359279032,False,288.0,,,,,,,1,PRUNED
78,0.5210129310344828,2024-06-17 02:26:43.646892,2024-06-17 02:36:53.406630,0 days 00:10:09.759738,0.1552686996832318,False,992.0,,,,,,,1,PRUNED
79,0.4482758620689655,2024-06-17 02:36:53.518185,2024-06-17 02:47:04.539607,0 days 00:10:11.021422,0.5413541480367194,False,832.0,,,,,,,1,PRUNED
80,0.9234913793103449,2024-06-17 02:47:04.653714,2024-06-17 03:27:27.642622,0 days 00:40:22.988908,,,,,,,,,,0,PRUNED
