model_f-0_train_accuracy,model_f-0_val_accuracy,model_f-0_train_loss,model_f-0_val_loss,model_f-1_train_accuracy,model_f-1_val_accuracy,model_f-1_train_loss,model_f-1_val_loss,model_f-2_train_accuracy,model_f-2_val_accuracy,model_f-2_train_loss,model_f-2_val_loss,model_f-3_train_accuracy,model_f-3_val_accuracy,model_f-3_train_loss,model_f-3_val_loss,model_f-4_train_accuracy,model_f-4_val_accuracy,model_f-4_train_loss,model_f-4_val_loss
0.49392651078044336,0.8724567263893107,2.244921201040474,0.8012999863300508,0.49863346492559973,0.8697236562405102,2.222712852173888,0.7596123654720852,0.49521712723959915,0.8721530519283328,2.236687812865975,0.8027080737090516,0.48838445186759794,0.88095961129669,2.2562912248559046,0.7649461468229595,0.5045551169146675,0.8636501670209535,2.218212181192206,0.8073543056990337
0.8108867294260552,0.9471606437898573,0.7427654227883113,0.2987846952763576,0.8143030671120559,0.9371393865775888,0.728826599789339,0.3316116242271676,0.8117218341937443,0.9401761311873671,0.7364823833508298,0.3142648436721342,0.8137716368053447,0.9380504099605224,0.72988501739302,0.33172459425675926,0.8144549043425447,0.9380504099605224,0.7238827803950818,0.3331210699465885
0.8783783783783784,0.9565745520801701,0.4631048274256456,0.1970749615874702,0.879972669298512,0.9477679927118129,0.453431855206919,0.22401141783095968,0.8852110537503796,0.9489826905557243,0.4518985890364359,0.21769086117754483,0.878150622532645,0.9465532948679016,0.45825696877007666,0.23093421995250996,0.8803522623747343,0.9501973883996356,0.4598030120091378,0.2239411851081509
0.9006984512602491,0.9538414819313695,0.37340822250004935,0.18975325312252944,0.8995596720315822,0.949286365016702,0.3698207308381624,0.22244865770660255,0.9022927421803826,0.9456422714849682,0.36847029118694063,0.2132281093887569,0.9020649863346493,0.9459459459459459,0.36468419299027516,0.22770099700976715,0.9012298815669603,0.9453385970239903,0.3680724460470734,0.2149843780145284
0.9090494989371394,0.9501973883996356,0.33026387245574107,0.21442183918986205,0.9101882781658063,0.9410871545703007,0.32515700566973965,0.2598937030213951,0.9082143941694504,0.9426055268751898,0.33880441770696607,0.2323124207512733,0.9136046158518069,0.9392651078044336,0.31754815957195714,0.2510003349786874,0.9080625569389614,0.9468569693288794,0.3362608312699281,0.22707036740906103
0.9110233829334953,0.9438202247191011,0.32718854688884635,0.23395232849333236,0.9086699058609171,0.9423018524142119,0.32475849160736253,0.27163223086294574,0.9122380807774066,0.9459459459459459,0.32519697448959417,0.22912607422640752,0.9126935924688734,0.9450349225630125,0.31878409930052487,0.2379105684373111,0.916109930154874,0.9419981779532342,0.316828086483992,0.24517286373513555
0.9367597935013665,0.949286365016702,0.2289557436429661,0.22385732250019555,0.9378985727300334,0.9450349225630125,0.2251475338464881,0.25357549674942487,0.9341785605830549,0.9508047373215912,0.23761137136128904,0.22192480437155326,0.933191618584877,0.9486790160947465,0.23459590224362006,0.23975691769095586,0.936683874886122,0.9453385970239903,0.22974656996417295,0.2514746096226764
0.9542969936228363,0.9505010628606134,0.1690180386031673,0.2071884217130521,0.9537655633161252,0.9538414819313695,0.16579271150820335,0.23030128737420313,0.9520953537807471,0.9505010628606134,0.17397350522925745,0.224642315253564,0.9547525053143031,0.9468569693288794,0.163233258046151,0.24836688624430378,0.9539933191618585,0.94959003947768,0.17254342506306034,0.2411929074356186
0.9632553902216824,0.953234133009414,0.13179084252266474,0.2028712683501855,0.9661402976009718,0.9550561797752809,0.12390004074153348,0.23212091755417047,0.9662162162162162,0.94959003947768,0.11833524887750656,0.23248343371449098,0.9640904949893714,0.9577892499240814,0.12502484604258698,0.21233048143590477,0.9664439720619495,0.9568782265411478,0.11972370618679272,0.21780270299935192
,,,,0.9720619495900394,0.9514120862435469,0.09691816897311532,0.2727037438455627,0.9742635894321288,0.9514120862435469,0.09264923127701505,0.22172825470435994,0.9744913452778622,0.9568782265411478,0.0930143216065557,0.2136895761998646,0.9725933798967507,0.9547525053143031,0.09886874131705391,0.23177614148267575
,,,,0.9794260552687519,0.9562708776191923,0.07093428681012522,0.24056430655314193,0.9790464621925296,0.9553598542362587,0.07351408118640125,0.21539004788665958,0.9808685089583966,0.9577892499240814,0.07078376103268164,0.221522328595191,,,,
,,,,,,,,0.9850440327968418,0.9565745520801701,0.055337917192314755,0.2317871192087287,0.9832979046462192,0.9565745520801701,0.060227567103211144,0.23214793576768844,,,,
,,,,,,,,,,,,0.9889158821743091,0.958396598846037,0.04209113401384153,0.23698066676706456,,,,
,,,,,,,,,,,,0.9895991497115093,0.9571819010021257,0.040960635180492776,0.23782853057778458,,,,
,,,,,,,,,,,,0.9915730337078652,0.9617370179167932,0.030555221293040273,0.2291869644428026,,,,
,,,,,,,,,,,,0.9928636501670209,0.9638627391436381,0.026500113698921572,0.2201531203992185,,,,
,,,,,,,,,,,,0.9936228363194656,0.9602186456119041,0.02442260671672718,0.24338727662033202,,,,
